[2025-11-13 19:24:21, Initialization, CentralServiceContainer, Info] ServiceContainer.PopulateServiceHostRuntimes(): Creating service host runtimes...
[2025-11-13 19:24:22, Initialization, CentralServiceContainer, Info] ServiceContainer.OrderComponents(): Ordering components for start up...
[2025-11-13 19:24:22, Initialization, CentralServiceContainer, Info] ServiceContainer.Start(): Starting DispatchRestarter...
[2025-11-13 19:24:23, Initialization, CentralServiceContainer, Info] ServiceContainer.Start(): Component DispatchRestarter took 1.1143925 seconds to start
[2025-11-13 19:24:23, Initialization, CentralServiceContainer, Info] ServiceContainer.Start(): Commiting DispatchRestarter...
[2025-11-13 19:24:31, Initialization, CentralServiceContainer, Info] ServiceContainer.Stop(): Uncommiting DispatchRestarter...
[2025-11-13 19:24:31, Initialization, CentralServiceContainer, Info] ServiceContainer.Stop(): Stopping DispatchRestarter...
[2025-11-13 19:24:32, Initialization, CentralServiceContainer, Info] ServiceContainer.Stop(): Unloading DispatchRestarter...
[2025-11-14 12:50:10, Initialization, CentralServiceContainer, Info] ServiceContainer.ServiceContainer(): Service container starting...
[2025-11-14 12:50:10, Configuration, CentralServiceContainer, Info] ServiceContainer.InitializeComponents(): Initializing component configuration...
[2025-11-14 12:50:10, Initialization, CentralServiceContainer, Info] ServiceContainer.PopulateServiceHostRuntimes(): Creating service host runtimes...
[2025-11-14 12:50:10, Initialization, CentralServiceContainer, Info] ServiceContainer.OrderComponents(): Ordering components for start up...
[2025-11-14 12:50:10, Initialization, CentralServiceContainer, Info] ServiceContainer.Start(): Starting DispatchRestarter...
[2025-11-14 12:50:12, Initialization, CentralServiceContainer, Info] ServiceContainer.Start(): Component DispatchRestarter took 1.1378815 seconds to start
[2025-11-14 12:50:12, Initialization, CentralServiceContainer, Info] ServiceContainer.Start(): Commiting DispatchRestarter...
[2025-11-14 13:23:14, Initialization, CentralServiceContainer, Info] ServiceContainer.Stop(): Uncommiting DispatchRestarter...
[2025-11-14 13:23:14, Initialization, CentralServiceContainer, Info] ServiceContainer.Stop(): Stopping DispatchRestarter...
[2025-11-14 13:23:15, Initialization, CentralServiceContainer, Info] ServiceContainer.Stop(): Unloading DispatchRestarter...
[2025-11-14 13:24:08, Initialization, CentralServiceContainer, Info] ServiceContainer.ServiceContainer(): Service container starting...
[2025-11-14 13:24:08, Configuration, CentralServiceContainer, Info] ServiceContainer.InitializeComponents(): Initializing component configuration...
[2025-11-14 13:24:08, Initialization, CentralServiceContainer, Info] ServiceContainer.PopulateServiceHostRuntimes(): Creating service host runtimes...
[2025-11-14 13:24:09, Initialization, CentralServiceContainer, Info] ServiceContainer.OrderComponents(): Ordering components for start up...
[2025-11-14 13:24:09, Initialization, CentralServiceContainer, Info] ServiceContainer.Start(): Starting DispatchRestarter...
[2025-11-14 13:24:09, Initialization, CentralServiceContainer, Info] ServiceContainer.Start(): Component DispatchRestarter took 0.8011939 seconds to start
[2025-11-14 13:24:09, Initialization, CentralServiceContainer, Info] ServiceContainer.Start(): Commiting DispatchRestarter...
[2025-11-15 14:21:52, Initialization, CentralServiceContainer, Info] ServiceContainer.Stop(): Uncommiting DispatchRestarter...
